image_name|comment_number|comment
5797756884.jpg| 2| A man is sitting on an upturned white bucket playing a banjo .
109260218.jpg| 0| Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
3218861747.jpg| 0| A skateboarder is doing a trick in the air with his skateboard on a red ramp while people stand around looking .
4726678447.jpg| 4| Man with backpack walks through a crowded park .
226481576.jpg| 3| An attractive young New York City policewoman pauses on the sidewalk .
3346711367.jpg| 3| Two dogs chase down a mowed grass field .
2643263887.jpg| 2| A boy in green trunks slides down a water slide .
369567283.jpg| 1| A woman getting a styling cut from a female hair stylist .
841397013.jpg| 0| A boy in a white shirt is making a face while the his peer and him are working on schoolwork .
4503962385.jpg| 0| A man in a blue shirt is pulling a cart loaded with a lot of aluminum cans .
2929669711.jpg| 3| Man boogie boarding on wave .
2796023180.jpg| 4| Two men stand together and hold clothing .
6630195863.jpg| 3| A young man is performing a jump on a skateboard while another young man photographs his stunt .
4652298673.jpg| 1| A woman with brown hair has her hand on her chin .
418310966.jpg| 0| A new baby still in the hospital , wrapped in blanket , sleeping .
3213910095.jpg| 3| Man with black poofy coat and red shirt posing for a picture on a snowy mountain .
3399284917.jpg| 1| The woman stands outdoors , next to a child in a swing .
183656175.jpg| 2| A woman in a red hat and dress sits alone on a park bench .
2203449950.jpg| 2| A toddler in a pink dress walks through the grass .
4533751963.jpg| 3| A firefighter puts on his gas mask .
3123526484.jpg| 0| A man wearing black and a woman wearing white are smiling .
1073444492.jpg| 0| A guy sitting at a desk talking on a phone with books laying everywhere .
1516097777.jpg| 1| Three middle eastern men in business attire sit around a table .
3856182861.jpg| 2| Three women are working in a hospital .
4931356888.jpg| 1| A small cow is herded by two individuals on horseback .
3645134768.jpg| 4| Three men and one woman in a band on a stage .
4705868165.jpg| 1| A red and white tent with Asian women inside of it .
2916770809.jpg| 4| Two women are watching kids playing baseball
2354064281.jpg| 3| Two dogs greet each other in a snowy grass field .
280940032.jpg| 4| a welder welding something together .
5244864049.jpg| 3| A guy wearing a white shirt is playing a white guitar .
3134214072.jpg| 2| A woman is making a basket out of straw .
6836166265.jpg| 2| A scientist works with a microscope while 2 businessmen and a businesswoman observe .
7072093185.jpg| 4| Young people wearing blue gloves using syringes .
3492180255.jpg| 3| Men are dressed in soccer uniforms .
5923507305.jpg| 0| A man in black is playing a flute in a subway hall that has graffiti on the walls .
2340206885.jpg| 3| Three dogs meet in the snow .
5868688859.jpg| 2| A tuba player performing on the street with a flame coming out of the end of the tuba
308452930.jpg| 0| Several children are playing in the snow near houses with mountains in the background .
4778867483.jpg| 3| Two young boys playing at an outdoor fountain .
3679502342.jpg| 3| A man walks along with a can of soda in his hand .
4058154906.jpg| 3| Three women waiting for public transportation .
3679502342.jpg| 0| A homeless man holds up his pants as another man observes in the distance .
236557331.jpg| 2| A lone little girl surrounded by adults is eating cake .
2060904593.jpg| 1| A teenage boy wearing a white shirt is sitting down next to two other boys who are standing .
8218190928.jpg| 1| A football player is running with the ball and breaks a tackle by the defender on the way to the end zone .
823498977.jpg| 0| An older woman talking to a group of younger women at a tavern .
4119134806.jpg| 4| Three men at work standing along a wall .
1403064674.jpg| 2| This Guy is looking at the view , down at the mountain .
7128906975.jpg| 1| A young boy , in a white jersey , has kicked a green and white soccer ball .
299181827.jpg| 1| A girl is preparing to pour a bucket of water on man wearing a white shirt .
864546649.jpg| 1| A group of pictures in frames are arranged with colorful flowers placed in front of them .
196968178.jpg| 0| A young bull is grabbed by the horns by a man wearing a white cowboy hat in a rodeo ring while other men in white hats watch .
3368671163.jpg| 0| A white dog carries a yellow toy while another dog follows .
4427058951.jpg| 3| A bucking bronco causes a rodeo rider to lose his grip .
4917408254.jpg| 4| A young man and young woman lounge on concrete blocks .
4005459199.jpg| 4| Older man is sitting in a car .
8013541498.jpg| 3| The racer zooms past the wooded area leaving a cloud of dust .
1391394685.jpg| 2| A young man in a suit standing out from the crowd , at what appears to be an art exhibition .
3176277818.jpg| 1| Many people playing colorful carnival games .
3261666285.jpg| 0| A basketball player in white is trying to defend against the player in black who is dribbling the ball .
3189293145.jpg| 0| One bird opens its mouth while the other bird looks back at it .
4320882376.jpg| 2| Two shoveling women are volunteering in a major landscaping project .
1775029934.jpg| 2| An antelope runs through tall brown grass .
4793042666.jpg| 0| An older individual crosses the street on what seems to be an overcast day , traffic approaches in the background .
4601570028.jpg| 3| A hairdresser in a salon looking off through the salon .
2511794705.jpg| 3| A young boy is writing someone on a banner .
2172493537.jpg| 2| Three children are playing at a sprinkler park .
4445485475.jpg| 4| People outside of an orange building .
160210792.jpg| 2| Man carries empty Coke bottles on his head across dirt road .
4643130562.jpg| 0|" Two uniformed women , wearing jackets saying "" Politie "" on the back , are looking at each other in front of a crowd ."
4932970587.jpg| 1| A middle-aged man holds a camera while he and two other man cross a street .
597543181.jpg| 2| a young child swinging on a green swing .
4984199246.jpg| 2| A man in a white shirt is eating , standing next to a fence .
2391657339.jpg| 2| A man sitting on the sidewalk with his dog .
31919019.jpg| 4| A woman walking down the street .
2752230113.jpg| 3| Child , man , and woman walking near the water .
4722562562.jpg| 1| A woman and boy who is holding tennis rackets walk by each other .
4755080891.jpg| 0| Some people sitting in a outside chinese restaurant eating .
5925767545.jpg| 2| Two pieces of wood are used to sandwich a material into it 's shape .
2430269210.jpg| 1| Group of girls wearing black sleeves watches enthusiastically
4960139534.jpg| 1| There is a man in a white t-shirt and dark shorts walking down a slightly littered alley .
5169300296.jpg| 2| A dude is wearing gloves while doing laundry .
6282165546.jpg| 1| Two young men in blue outfits and one young man in a brown outfit are on rollerskates .
1810651611.jpg| 4| A closeup of a little girl on a swing .
280435773.jpg| 1| Man reads off of laptop while giving a presentation with a lighted advertisement sign behind him .
49227122.jpg| 0| Several people are in a group where a man in a blue shirt is smiling .
55442802.jpg| 3| Young children compete in outdoor sports .
3700322513.jpg| 0| A guy on a bike jumps high into the air while another person takes his picture
4631476946.jpg| 2| A woman is dressed up with forks attached to her head and body .
6083302879.jpg| 1| Two police officers are standing in uniform .
3319020762.jpg| 1| two people jumpinjg over a large wave at the beach
4487209262.jpg| 3| A man sitting on a bench next to a bicycle .
5903121771.jpg| 3| A man is about to hit the water .
3429115635.jpg| 2| blond woman and girl examining plants growing in a window box .
5415762131.jpg| 4| Two men playing in tennis match .
4729746211.jpg| 0| A vietnamese woman in a hat arranging flowers in a bowl .
2412152032.jpg| 3| Several people are climbing a metal structure .
2981372647.jpg| 2| A dog rolls on his back in the grass as two other dogs look on .
1067790824.jpg| 2| The two large dogs are running through sand .
101471792.jpg| 2| A man in a red jacket shades the sun from his eyes on a busy street .
2890120770.jpg| 0| A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck .
6797626960.jpg| 3| High school basketball has gotten especially exciting with exemplary lay-ups .
2710563762.jpg| 1| A group of people gather on a basketball court as one person jumps for the ball .
6141981912.jpg| 3| Two guys playing soccer going towards the goal .
581630745.jpg| 1| A woman wearing a white shirt works out on an elliptical machine .
2348491126.jpg| 4| A man is looking down .
36030175.jpg| 2| Two construction workers smooth out concrete surface .
5302864546.jpg| 0| People are playing instruments next to a piano while a person in a white coca-cola shirt watches .
2586028627.jpg| 1| a little boy is riding a yellow bicycle across a town square .
446901798.jpg| 3| Woman with peace sign t-shirt walks dog on forested path .
2942798367.jpg| 0| Two girls on an amusement park ride smiling and laughing .
297725741.jpg| 3| A couple kissing in front of a statue by the water .
86120374.jpg| 1| An older man is making cotton candy while others look on .
2458006588.jpg| 2| A dog is standing on a metal beam alertly looking at something .
3281580623.jpg| 1| Two standing dogs and one brown dog lying on its back interact .
215978818.jpg| 2| Three children are playing with an illuminated water art display .
4748798432.jpg| 1| A man in a silver outfit is holding onto a long pole that is in a trough hot melted metal .
297966963.jpg| 4| a man is in his one hand in water
138705546.jpg| 4| Two girls on the shore watch people in a boat fish .
